Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,283,28,Catelyn V,Catelyn Tully,Lord Jonos Bracken,Lord,Jonos,Bracken,,,,M,A
A Game of Thrones,284,29,Sansa II,Sansa Stark,Ser Gregor Clegane; The Mountain that Rides,Ser,Gregor,Clegane,,The Mountain that Rides,,M,D
A Game of Thrones,285,29,Sansa II,Sansa Stark,Thoros; Of Myr,,Thoros,,,Of Myr,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Balon Swann,Ser,Balon,Swann,,,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Lord Bryce Caron,Lord,Bryce,Caron,,,,M,D
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Andar Royce,Ser,Andar,Royce,,,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Robar Royce,Ser,Robar,Royce,,,,M,D
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Horas Redwyne; Horror,Ser,Horas,Redwyne,,Horror,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Hobber Redwyne; Slobber,Ser,Hobber,Redwyne,,Slobber,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Jared Frey,Ser,Jared,Frey,,,,M,D
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Hosteen Frey,Ser,Hosteen,Frey,,,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Danwell Frey,Ser,Danwell,Frey,,,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Emmon Frey,Ser,Emmon,Frey,,,,M,A
A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Theo Frey,Ser,Theo,Frey,,,,M,U
A Game of Thrones,285,29,Sansa II,Sansa Stark,Martyn Rivers,,Martyn,Rivers,,,,M,U
A Game of Thrones,285,29,Sansa II,Sansa Stark,Jalabhar Xho,,Jalabhar,Xho,,,,M,A
