Wat,Wat,A Clash of Kings,415,30,Arya VII,Arya Stark,"Wat, Whitesmile Wat",,Wat,,,Whitesmile Wat,,M,A
Tothmure,Tothmure,A Clash of Kings,416,30,Arya VII,Arya Stark,Maester Tothmure,Maester,Tothmure,,,,,M,D
Eggon,Eggon,A Clash of Kings,423,30,Arya VII,Arya Stark,Eggon,,Eggon,,,,,M,A
Joss-Stilwood,Joss Stilwood,A Clash of Kings,423,30,Arya VII,Arya Stark,Joss Stilwood,,Joss,Stilwood,,,,M,A
Layna,Layna,A Clash of Kings,423,30,Arya VII,Arya Stark,Layna,,Layna,,,,,F,A
Tobbot,Tobbot,A Clash of Kings,424,30,Arya VII,Arya Stark,Tobbot,,Tobbot,,,,,M,A
Durran-Godsgrief,Durran Godsgrief,A Clash of Kings,426,31,Catelyn III,Catelyn Tully,King Durran Godsgrief,King,Durran,Godsgrief,,,,M,D
Elenei,Elenei,A Clash of Kings,426,31,Catelyn III,Catelyn Tully,Elenei,,Elenei,,,,,F,D
Rupert-Brax,Rupert Brax,A Clash of Kings,445,32,Sansa III,Sansa Stark,Ser Rupert Brax,Ser,Rupert,Brax,,,,M,D
Antario-Jast,Antario Jast,A Clash of Kings,446,32,Sansa III,Sansa Stark,Lord Antario Jast,Lord,Antario,Jast,,,,M,A
Lymond-Vikary,Lymond Vikary,A Clash of Kings,446,32,Sansa III,Sansa Stark,Ser Lymond Vikary,Ser,Lymond,Vikary,,,,M,A
Osmynd,Osmynd,A Clash of Kings,446,32,Sansa III,Sansa Stark,Septon Osmynd,Septon,Osmynd,,,,,M,D
Emmon-Cuy,Emmon Cuy,A Clash of Kings,452,33,Catelyn IV,Catelyn Tully,"Ser Emmon Cuy, The Yellow",Ser,Emmon,Cuy,,The Yellow,,M,D
Parmen-Crane,Parmen Crane,A Clash of Kings,452,33,Catelyn IV,Catelyn Tully,"Ser Parmen Crane, The Purple",Ser,Parmen,Crane,,The Purple,,M,A
Gawen-Wylde,Gawen Wylde,A Clash of Kings,453,33,Catelyn IV,Catelyn Tully,Ser Gawen Wylde,Ser,Gawen,Wylde,,,,M,D
Alester-Florent,Alester Florent,A Clash of Kings,478,36,Tyrion VIII,Tyrion Lannister,Lord Alester Florent,Lord,Alester,Florent,,,,M,D
Stygg,Stygg,A Clash of Kings,485,37,Theon III,Theon Greyjoy,Stygg,,Stygg,,,,,M,U
Werlag,Werlag,A Clash of Kings,485,37,Theon III,Theon Greyjoy,Werlag,,Werlag,,,,,M,U
